SALE TYPE,PROPERTY TYPE,ADDRESS,CITY,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,SOURCE
MLS Listing,Single Family Residential,2840 Catherine St,Dallas,75211,289000,2,1.5,Sunset View Rev,1388,11108,1935,2,208,,Active,NTREIS
MLS Listing,Condo/Co-op,2950 McKinney Ave #317,Dallas,75204,289000,1,1.5,Mercer Square,850,65558,2006,135,340,281,Active,NTREIS
MLS Listing,Single Family Residential,5815 Smoke Glass Trl,Dallas,75252,289000,3,2,Bent Trail Add Ph Two,1751,8712,1981,1,165,10,Active,NTREIS
MLS Listing,Condo/Co-op,5816 Birchbrook Dr #223,Dallas,75206,289000,2,2,Veneto 01 Condo,1225,138826,1970,4,236,,Active,NTREIS
MLS Listing,Single Family Residential,6220 N Jim Miller Rd,Dallas,75228,289000,4,3,Buckner Terrace 06 Sec 03 Inst,3040,8625,1964,8,95,,Active,NTREIS
MLS Listing,Single Family Residential,8038 Mountain Knoll Ct,Dallas,75249,289000,4,3,Mountain Hollow 01,2710,6534,2015,30,107,23,Active,NTREIS
MLS Listing,Single Family Residential,101 S Tatum Ave,Dallas,75211,289900,4,2.5,Arcadia Park,2200,17511,2019,72,132,,Active,NTREIS
MLS Listing,Condo/Co-op,1122 Jackson St #502,Dallas,75202,289900,1,1,Soco Urban Loft Condo,1411,,1925,8,205,550,Active,NTREIS
MLS Listing,Single Family Residential,2646 Alden Ave,Dallas,75211,289900,2,2,Oak Cliff,1614,6882,1959,26,180,,Active,NTREIS
MLS Listing,Single Family Residential,3568 Virginia Blvd,Dallas,75211,289900,3,2,Keiths Richmond Hill Add,1557,9278,1946,15,186,,Active,NTREIS
MLS Listing,Single Family Residential,3823 Ridgeoak Way,Farmers Branch,75244,289900,3,2,Country Club Estates,2172,10498,1964,1,133,,Active,NTREIS
MLS Listing,Condo/Co-op,4241 Buena Vista St #1,Dallas,75205,289900,1,1.5,Buena Vista Street Condo 4241,1134,28009,1994,17,256,337,Active,NTREIS
